id_orden,id_cuenta,id_cliente,sexo_cliente,edad_cliente,fecha_apertura_cuenta,id_distrito,nombre_distrito,region,bank_to,account_to,k_symbol,categoria_orden,monto_orden
29401,1,1,F,28,1995-03-24,18,Pisek,south Bohemia,YZ,87144583,SIPO,Servicios del Hogar,2452.0
29402,2,2,M,53,1993-02-26,1,Hl.m. Praha,Prague,ST,89597016,UVER,Cuota de Prestamo,3373.0
29403,2,2,M,53,1993-02-26,1,Hl.m. Praha,Prague,QR,13943797,SIPO,Servicios del Hogar,7266.0
29404,3,4,M,42,1997-07-07,5,Kolin,central Bohemia,WX,83084338,SIPO,Servicios del Hogar,1135.0
29405,3,4,M,42,1997-07-07,5,Kolin,central Bohemia,CD,24485939,SIN_ESPECIFICAR,Sin Especificar,327.0
29406,3,4,M,42,1997-07-07,5,Kolin,central Bohemia,AB,59972357,POJISTNE,Pago de Seguros,3539.0
29407,4,6,M,79,1996-02-21,12,Pribram,central Bohemia,UV,26693541,SIPO,Servicios del Hogar,2078.0
29408,4,6,M,79,1996-02-21,12,Pribram,central Bohemia,UV,5848086,SIPO,Servicios del Hogar,1285.0
29409,5,7,M,69,1997-05-30,15,Cesky Krumlov,south Bohemia,GH,37390208,SIPO,Servicios del Hogar,2668.0
29410,6,8,F,60,1994-09-27,51,Trutnov,east Bohemia,AB,44486999,SIPO,Servicios del Hogar,3954.0
29411,7,9,M,63,1996-11-24,60,Prostejov,south Moravia,IJ,34452903,SIPO,Servicios del Hogar,4880.0
29412,8,10,M,55,1995-09-21,57,Hodonin,south Moravia,UV,12510681,SIPO,Servicios del Hogar,2612.0
29413,8,10,M,55,1995-09-21,57,Hodonin,south Moravia,IJ,93210345,SIN_ESPECIFICAR,Sin Especificar,6712.0
29414,10,13,F,24,1996-08-28,54,Brno - mesto,south Moravia,UV,18686104,SIPO,Servicios del Hogar,7033.0
29415,10,13,F,24,1996-08-28,54,Brno - mesto,south Moravia,QR,93182509,LEASING,Arrendamiento / Leasing,1344.0
29416,11,14,F,56,1995-10-10,76,Sumperk,north Moravia,ST,38470870,SIPO,Servicios del Hogar,2132.0
29417,12,15,F,80,1997-04-15,21,Tabor,south Bohemia,CD,23010808,SIPO,Servicios del Hogar,297.0
29418,12,15,F,80,1997-04-15,21,Tabor,south Bohemia,KL,63607060,SIPO,Servicios del Hogar,3295.0
29419,13,17,M,64,1997-08-17,76,Sumperk,north Moravia,EF,35443323,SIPO,Servicios del Hogar,2444.0
29420,14,19,M,56,1996-11-27,47,Pardubice,east Bohemia,WX,11793136,SIPO,Servicios del Hogar,3629.0
29421,15,20,M,19,1993-10-02,70,Karvina,north Moravia,KL,24265569,SIPO,Servicios del Hogar,3072.0
29422,17,22,F,29,1997-01-08,1,Hl.m. Praha,Prague,EF,15076423,SIPO,Servicios del Hogar,4032.0
29423,19,25,F,59,1995-04-07,21,Tabor,south Bohemia,QR,14132368,UVER,Cuota de Prestamo,2523.0
29425,20,26,F,29,1996-08-24,74,Ostrava - mesto,north Moravia,AB,3399968,SIPO,Servicios del Hogar,2003.0
29426,21,27,F,32,1997-12-06,54,Brno - mesto,south Moravia,YZ,60152441,SIPO,Servicios del Hogar,6276.0
29427,22,28,M,53,1994-03-23,1,Hl.m. Praha,Prague,ST,34691494,SIPO,Servicios del Hogar,6352.0
29428,23,29,F,47,1993-05-22,30,Sokolov,west Bohemia,MN,20774019,SIPO,Servicios del Hogar,5807.0
29429,24,30,F,41,1996-12-05,74,Ostrava - mesto,north Moravia,IJ,50810194,SIPO,Servicios del Hogar,221.0
29430,24,30,F,41,1996-12-05,74,Ostrava - mesto,north Moravia,QR,46086388,SIN_ESPECIFICAR,Sin Especificar,7641.0
29431,25,31,M,36,1996-07-28,68,Frydek - Mistek,north Moravia,YZ,1301700,UVER,Cuota de Prestamo,2523.0
29432,25,31,M,36,1996-07-28,68,Frydek - Mistek,north Moravia,IJ,4896235,SIPO,Servicios del Hogar,6817.0
29433,25,31,M,36,1996-07-28,68,Frydek - Mistek,north Moravia,AB,79838293,SIN_ESPECIFICAR,Sin Especificar,1110.0
29434,25,31,M,36,1996-07-28,68,Frydek - Mistek,north Moravia,WX,52864879,POJISTNE,Pago de Seguros,164.0
29435,26,32,M,18,1993-08-08,52,Usti nad Orlici,east Bohemia,EF,12891853,SIPO,Servicios del Hogar,10387.0
29436,27,33,F,50,1993-09-26,73,Opava,north Moravia,CD,28175699,SIPO,Servicios del Hogar,4054.0
29439,29,36,F,20,1994-11-24,7,Melnik,central Bohemia,ST,32924878,SIPO,Servicios del Hogar,6871.0
